.id,Crop,Exp,Label,Trt,Day,DATE,Tmax,Tmin,Radiation,TT,fSolar,Biomass,dBiomass,HI,Yield,F_Temp,F_Heat,F_Water,ARID,I50B,I50A,ETO,MaturityDay
1,Daily,cocoa,KOKOlatl,Santander,1,1,2020-06-23,28.9,15.7,18.52,0,0.001,1,0.0892675575,0.3,0.3,0.76875,1,1,0,200,680,0,2020-12-09
2,Daily,cocoa,KOKOlatl,Santander,1,2,2020-06-24,29.18,14.05,22.1,12.3,0.00119506816572022,1.089,0.120213079823893,0.3,0.327,0.7259375,1,1,0,200,680,4.1521575522225,2020-12-09
3,Daily,cocoa,KOKOlatl,Santander,1,3,2020-06-25,30.2,15.26,20.17,23.915,0.00134205000794094,1.209,0.135036309095222,0.3,0.363,0.795625,1,1,0,200,680,9.06061843757292,2020-12-09
4,Daily,cocoa,KOKOlatl,Santander,1,4,2020-06-26,28.86,17.01,19.74,36.645,0.00152395135464795,1.345,0.15248679761464,0.3,0.403,0.8084375,1,1,0,200,680,13.6346105027065,2020-12-09
5,Daily,cocoa,KOKOlatl,Santander,1,5,2020-06-27,28.76,15.99,19.31,49.58,0.00173400722669381,1.497,0.162377534417916,0.3,0.449,0.7734375,1,1,0,200,680,18.1023435225898,2020-12-09
6,Daily,cocoa,KOKOlatl,Santander,1,6,2020-06-28,26.49,17.72,10.07,61.955,0.00196196128136659,1.659,0.0937199946173417,0.3,0.498,0.7565625,1,1,0,200,680,22.4342507247013,2020-12-09
7,Daily,cocoa,KOKOlatl,Santander,1,7,2020-06-29,27.95,16.77,18.57,74.06,0.0022138407573666,1.753,0.199124322569941,0.3,0.526,0.7725,1,1,0,200,680,24.664556729538,2020-12-09
8,Daily,cocoa,KOKOlatl,Santander,1,8,2020-06-30,29.39,15.22,19.8,86.42,0.00250433283076066,1.952,0.239103764305729,0.3,0.586,0.7690625,1,1,0,200,680,28.8166889731418,2020-12-09
9,Daily,cocoa,KOKOlatl,Santander,1,9,2020-07-01,29.19,16.8,18.09,98.725,0.00283127529634819,2.191,0.260822172790603,0.3,0.657,0.8121875,1,1,0,200,680,33.2644256278065,2020-12-09
10,Daily,cocoa,KOKOlatl,Santander,1,10,2020-07-02,27.75,16.86,11.51,111.72,0.00322284255531199,2.452,0.17887250513906,0.3,0.736,0.7690625,1,1,0,200,680,37.3675026103288,2020-12-09
11,Daily,cocoa,KOKOlatl,Santander,1,11,2020-07-03,29.92,16.17,17.58,124.025,0.00364322630704374,2.631,0.327413559707897,0.3,0.789,0.8153125,1,1,0,200,680,39.9369449582175,2020-12-09
12,Daily,cocoa,KOKOlatl,Santander,1,12,2020-07-04,27.21,16.94,14.57,137.07,0.00414866008380936,2.958,0.286023753877876,0.3,0.887,0.7546875,1,1,0,200,680,43.938278481398,2020-12-09
13,Daily,cocoa,KOKOlatl,Santander,1,13,2020-07-05,29.17,16.15,13.86,149.145,0.00467848852682588,3.244,0.321699260750253,0.3,0.973,0.79125,1,1,0,200,680,47.1726949866426,2020-12-09
14,Daily,cocoa,KOKOlatl,Santander,1,14,2020-07-06,28.43,15.51,12.03,161.805,0.00530638418496905,3.566,0.299437388062431,0.3,1.07,0.748125,1,1,0,200,680,50.3002834713936,2020-12-09
15,Daily,cocoa,KOKOlatl,Santander,1,15,2020-07-07,26.84,16.41,17.41,173.775,0.00597689166886157,3.866,0.474039656960391,0.3,1.16,0.7265625,1,1,0,200,680,52.979042520617,2020-12-09
16,Daily,cocoa,KOKOlatl,Santander,1,16,2020-07-08,27.34,16.38,20.1,185.4,0.00670849983778626,4.34,0.626691375838271,0.3,1.302,0.74125,1,1,0,200,680,56.8117212833292,2020-12-09
17,Daily,cocoa,KOKOlatl,Santander,1,17,2020-07-09,27.29,15.42,22.57,197.26,0.00754652022583087,4.966,0.757901900624774,0.3,1.49,0.7096875,1,1,0,200,680,61.2612474362876,2020-12-09
18,Daily,cocoa,KOKOlatl,Santander,1,18,2020-07-10,25.96,17.28,20.14,208.615,0.00844590578780377,5.724,0.77456770437343,0.3,1.717,0.72625,1,1,0,200,680,66.2177441651915,2020-12-09
