Species*,Exp*,Trt*,IrrDate,IrrAmount
soybean,UFGA7801,1,78167,8
soybean,UFGA7801,1,78170,8
soybean,UFGA7801,1,78181,13
soybean,UFGA7801,1,78230,13
wheat1,UFGA7801,1,78235,13
soybean,UFGA7801,1,78237,13
soybean,UFGA7801,1,78240,11
soybean,UFGA7801,1,78242,11
soybean,UFGA7801,1,78244,11
soybean,UFGA7801,1,78246,11
soybean,UFGA7801,1,78250,11
soybean,UFGA7801,1,78253,11
soybean,UFGA7801,1,78256,8
soybean,UFGA7801,1,78259,8
soybean,UFGA7801,1,78262,8
soybean,UFGA7801,1,78265,8
soybean,UFGA7801,1,78269,7
soybean,UFGA7801,1,78272,8
soybean,UFGA7801,1,78279,7
soybean,UFGA7801,1,78283,8
soybean,UFGA7801,1,78294,10
soybean,UFGA8401,1,84153,25
soybean,UFGA8401,1,84156,12
soybean,UFGA8401,1,84163,25
soybean,UFGA8401,1,84164,12
soybean,UFGA8401,1,84166,12
soybean,UFGA8401,1,84190,17
soybean,UFGA8401,1,84208,18
soybean,UFGA8401,1,84220,18
soybean,UFGA8401,1,84224,17
soybean,UFGA8401,1,84243,21
soybean,UFGA8401,1,84248,27
soybean,UFGA8401,1,84255,22
soybean,UFGA8401,1,84261,25
soybean,UFGA8401,1,84268,41
soybean,UFGA8401,1,84271,29
soybean,UFGA8401,1,84277,28
soybean,UFGA8401,1,84289,33
soybean,UFGA8401,1,84295,21
soybean,UFGA8401,1,84153,25
soybean,UFGA8401,1,84156,12
soybean,UFGA8401,1,84163,25
soybean,UFGA8401,2,84164,12
soybean,UFGA8401,2,84166,12
soybean,UFGA8401,2,84262,48
soybean,UFGA8401,2,84268,31
soybean,UFGA8401,2,84271,28
soybean,UFGA8401,2,84277,32
soybean,UFGA8401,2,84289,34
soybean,UFGA8401,2,84295,21
soybean,OHWO8801,1,88147,38
soybean,OHWO8801,1,88154,38
soybean,OHWO8801,1,88161,38
soybean,OHWO8801,1,88168,38
soybean,OHWO8801,1,88175,38
soybean,OHWO8801,1,88182,38
soybean,OHWO8801,1,88189,38
soybean,OHWO8801,1,88196,38
soybean,OHWO8801,1,88210,38
soybean,OHWO8801,1,88217,38
soybean,OHWO8801,1,88224,39
soybean,OHWO8801,1,88231,15
soybean,OHWO8801,1,88238,15
soybean,OHWO8801,1,88245,7
soybean,OHWO8801,1,88259,25
soybean,OHWO8801,1,88266,38
soybean,OHWO8801,1,88273,38
soybean,OHWO8801,1,88280,38
maize,UFGA8201,1,82063,13
maize,UFGA8201,2,82063,13
maize,UFGA8201,2,82077,10
maize,UFGA8201,2,82094,10
maize,UFGA8201,2,82107,13
maize,UFGA8201,2,82111,18
maize,UFGA8201,2,82122,25
maize,UFGA8201,2,82126,25
maize,UFGA8201,2,82129,13
maize,UFGA8201,2,82132,15
maize,UFGA8201,2,82134,19
maize,UFGA8201,2,82137,20
maize,UFGA8201,2,82141,20
maize,UFGA8201,2,82148,15
maize,UFGA8201,2,82158,19
maize,UFGA8201,2,82161,4
maize,UFGA8201,2,82162,25
maize,UFGA8201,3,82063,13
maize,UFGA8201,3,82077,10
maize,UFGA8201,3,82094,10
maize,UFGA8201,3,82107,13
maize,UFGA8201,3,82111,18
maize,UFGA8201,3,82133,30
maize,UFGA8201,3,82134,4
maize,UFGA8201,3,82137,20
maize,UFGA8201,3,82141,20
maize,UFGA8201,3,82148,15
maize,UFGA8201,3,82158,19
maize,UFGA8201,3,82161,4
maize,UFGA8201,3,82162,25
soybean,UFGA7902,2,79092,6.8
soybean,UFGA7902,2,79124,4.5
soybean,UFGA7902,2,79126,7
soybean,UFGA7902,2,79131,6.8
soybean,UFGA7902,2,79137,9
soybean,UFGA7902,2,79139,9
soybean,UFGA7902,2,79141,9.2
soybean,UFGA7902,2,79143,9
soybean,UFGA7902,2,79146,18.3
soybean,UFGA7902,2,79148,10.4
soybean,UFGA7902,2,79160,27.2
soybean,UFGA7902,2,79170,13.6
soybean,UFGA7902,3,79092,6.8
soybean,UFGA7902,3,79124,4.5
soybean,UFGA7902,3,79137,17
soybean,UFGA7902,3,79139,9.4
soybean,UFGA7902,3,79141,9
soybean,UFGA7902,3,79143,11.3
soybean,UFGA7902,3,79145,17.2
soybean,UFGA7902,3,79148,10.4
soybean,UFGA7902,3,79157,13.6
soybean,UFGA7902,3,79160,16.1
soybean,UFGA7902,4,79092,6.8
soybean,UFGA7902,4,79124,4.5
soybean,UFGA7902,4,79126,7.2
soybean,UFGA7902,4,79131,6.8
soybean,UFGA7902,4,79137,9
soybean,UFGA7902,4,79139,9.4
soybean,UFGA7902,4,79141,9.2
soybean,UFGA7902,4,79143,9
soybean,UFGA7902,4,79146,17.2
soybean,UFGA7902,4,79148,10.7
soybean,UFGA7902,4,79150,6.8
soybean,UFGA7902,4,79155,13.6
soybean,UFGA7902,4,79157,20.4
soybean,UFGA7902,4,79170,13.6
wheat,NEWZ9201,1,91228,7
wheat,NEWZ9201,1,91241,20
wheat,NEWZ9201,1,91250,12
wheat,NEWZ9201,1,91255,22
wheat,NEWZ9201,1,91262,4
wheat,NEWZ9201,1,91269,7
wheat,NEWZ9201,1,91276,27
wheat,NEWZ9201,1,91283,18
wheat,NEWZ9201,1,91290,30
wheat,NEWZ9201,1,91297,42
wheat,NEWZ9201,1,91304,33
wheat,NEWZ9201,1,91311,24
wheat,NEWZ9201,1,91318,28
wheat,NEWZ9201,1,91325,37
wheat,NEWZ9201,1,91331,51
wheat,NEWZ9201,1,91339,36
wheat,NEWZ9201,1,91346,38
wheat,NEWZ9201,1,91353,35
wheat,NEWZ9201,1,91360,47
wheat,NEWZ9201,1,92003,40
wheat,NEWZ9201,1,92009,41
wheat,NEWZ9201,2,91161,7
wheat,NEWZ9201,2,91228,7
wheat,NEWZ9201,2,91241,20
wheat,NEWZ9201,2,91269,7
wheat,NEWZ9201,2,91297,42
wheat,NEWZ9201,2,91304,33
wheat,NEWZ9201,2,91311,24
wheat,NEWZ9201,2,91318,28
wheat,NEWZ9201,2,91325,37
wheat,NEWZ9201,2,91331,51
wheat,NEWZ9201,2,91339,36
wheat,NEWZ9201,2,91346,38
wheat,NEWZ9201,2,91353,35
wheat,NEWZ9201,2,91360,47
wheat,NEWZ9201,2,92003,40
wheat,NEWZ9201,2,92009,41
wheat,NEWZ9201,3,91161,7
wheat,NEWZ9201,3,91228,7
wheat,NEWZ9201,3,91241,20
wheat,NEWZ9201,3,91269,7
wheat,NEWZ9201,3,91353,35
wheat,NEWZ9201,3,91360,47
wheat,NEWZ9201,3,92003,40
wheat,NEWZ9201,4,91161,7
wheat,NEWZ9201,4,91228,7
wheat,NEWZ9201,4,91241,20
wheat,NEWZ9201,4,91250,12
wheat,NEWZ9201,4,91255,22
wheat,NEWZ9201,4,91262,14
wheat,NEWZ9201,4,91269,7
wheat,NEWZ9201,5,91161,7
wheat,NEWZ9201,5,91228,7
wheat,NEWZ9201,5,91241,20
wheat,NEWZ9201,5,91250,12
wheat,NEWZ9201,5,91255,22
wheat,NEWZ9201,5,91262,14
wheat,NEWZ9201,5,91269,7
wheat,NEWZ9201,5,91276,27
wheat,NEWZ9201,5,91283,18
wheat,NEWZ9201,5,91290,30
wheat,NEWZ9201,6,91161,7
wheat,NEWZ9201,6,91228,7
wheat,NEWZ9201,6,91241,20
wheat,NEWZ9201,6,91250,12
wheat,NEWZ9201,6,91255,22
wheat,NEWZ9201,6,91262,14
wheat,NEWZ9201,6,91269,7
wheat,NEWZ9201,6,91276,27
wheat,NEWZ9201,6,91283,18
wheat,NEWZ9201,6,91290,30
wheat,NEWZ9201,6,91297,42
wheat,NEWZ9201,6,91304,33
wheat,NEWZ9201,6,91311,24
wheat,HSCE0701,1,7078,94.1
wheat,HSCE0701,1,7086,9.7
wheat,HSCE0701,1,7087,10
wheat,HSCE0701,1,7094,32.3
wheat,HSCE0701,1,7102,19.1
wheat,HSCE0701,1,7103,19.9
wheat,HSCE0701,1,7113,9.4
wheat,HSCE0701,1,7114,27.6
wheat,HSCE0701,1,7115,40.2
wheat,HSCE0701,1,7116,34.4
wheat,HSCE0701,1,7122,27.8
wheat,HSCE0701,1,7123,45.5
wheat,HSCE0701,1,7124,26.5
wheat,HSCE0701,1,7130,16.9
wheat,HSCE0701,1,7131,40.5
wheat,HSCE0701,1,7132,29.7
wheat,HSCE0701,1,7138,57
wheat,HSCE0701,1,7143,37.1
wheat,HSCE0701,1,7144,31.7
wheat,HSCE0701,1,7152,57.2
wheat,HSCE0701,2,7080,94.1
wheat,HSCE0701,2,7086,8.6
wheat,HSCE0701,2,7087,8.5
wheat,HSCE0701,2,7094,31.1
wheat,HSCE0701,2,7102,16.6
wheat,HSCE0701,2,7103,17
wheat,HSCE0701,2,7113,8.2
wheat,HSCE0701,2,7114,23.3
wheat,HSCE0701,2,7115,34.2
wheat,HSCE0701,2,7116,20.4
wheat,HSCE0701,2,7122,23.5
wheat,HSCE0701,2,7123,37.6
wheat,HSCE0701,2,7124,22.3
wheat,HSCE0701,2,7130,14.4
wheat,HSCE0701,2,7131,36.9
wheat,HSCE0701,2,7132,25.2
wheat,HSCE0701,2,7138,48.5
wheat,HSCE0701,2,7143,31.3
wheat,HSCE0701,2,7144,44.1
wheat,HSCE0701,2,7145,2.4
wheat,HSCE0701,2,7152,47.7
wheat,HSCE0701,3,7080,94.1
wheat,HSCE0701,3,7086,7.7
wheat,HSCE0701,3,7087,7.9
wheat,HSCE0701,3,7094,32.7
wheat,HSCE0701,3,7102,15.5
wheat,HSCE0701,3,7103,16.1
wheat,HSCE0701,3,7113,8.5
wheat,HSCE0701,3,7114,21.6
wheat,HSCE0701,3,7115,31.9
wheat,HSCE0701,3,7116,36.1
wheat,HSCE0701,3,7122,21.3
wheat,HSCE0701,3,7123,35.2
wheat,HSCE0701,3,7124,20.3
wheat,HSCE0701,3,7130,13.1
wheat,HSCE0701,3,7131,32.5
wheat,HSCE0701,3,7132,22
wheat,HSCE0701,3,7138,43.9
wheat,HSCE0701,3,7143,27.9
wheat,HSCE0701,3,7144,39.8
wheat,HSCE0701,3,7145,14
wheat,HSCE0701,3,7152,43
wheat,HSCE0701,4,7113,4.1
wheat,HSCE0701,4,7114,55.7
wheat,HSCE0701,4,7115,48.1
wheat,HSCE0701,4,7116,42.5
wheat,HSCE0701,4,7123,42.4
wheat,HSCE0701,4,7124,28.1
wheat,HSCE0701,4,7130,18.2
wheat,HSCE0701,4,7131,25.6
wheat,HSCE0701,4,7138,47.5
wheat,HSCE0701,4,7143,40.4
wheat,HSCE0701,4,7144,11.4
wheat,HSCE0701,4,7151,42
wheat,HSCE0701,4,7152,9.3
wheat,HSCE0701,4,7156,49.1
wheat,HSCE0701,4,7157,48.6
wheat,HSCE0701,4,7163,46.6
wheat,HSCE0701,4,7166,48.7
wheat,HSCE0701,4,7172,47.6
wheat,HSCE0701,4,7178,42
wheat,HSCE0701,5,7170,154.9
wheat,HSCE0701,5,7171,123.9
wheat,HSCE0701,5,7173,55.6
wheat,HSCE0701,5,7177,37.1
wheat,HSCE0701,5,7180,38.8
wheat,HSCE0701,5,7184,46.8
wheat,HSCE0701,5,7187,43.3
wheat,HSCE0701,5,7192,25.5
wheat,HSCE0701,5,7194,36.5
wheat,HSCE0701,6,7236,46.5
wheat,HSCE0701,6,7243,39.1
wheat,HSCE0701,6,7208,62.8
wheat,HSCE0701,6,7213,41.8
wheat,HSCE0701,6,7220,50
wheat,HSCE0701,6,7229,58.1
wheat,HSCE0701,7,7269,16.9
wheat,HSCE0701,7,7270,31.2
wheat,HSCE0701,7,7271,24.3
wheat,HSCE0701,7,7274,50.5
wheat,HSCE0701,7,7277,21.1
wheat,HSCE0701,7,7278,32.4
wheat,HSCE0701,7,7283,9.5
wheat,HSCE0701,7,7283,15.6
wheat,HSCE0701,7,7284,35.7
wheat,HSCE0701,7,7285,32.1
wheat,HSCE0701,7,7292,37.3
wheat,HSCE0701,7,7298,50.9
wheat,HSCE0701,7,7299,37
wheat,HSCE0701,7,7306,36.9
wheat,HSCE0701,7,7313,25
wheat,HSCE0701,7,7320,24
wheat,HSCE0701,7,7327,24.1
wheat,HSCE0701,7,7362,35.1
wheat,HSCE0701,7,8011,30.2
wheat,HSCE0701,7,8025,30.5
wheat,HSCE0701,7,8038,29.2
wheat,HSCE0701,8,7269,27.8
wheat,HSCE0701,8,7270,55
wheat,HSCE0701,8,7271,42.6
wheat,HSCE0701,8,7274,1.8
wheat,HSCE0701,8,7277,21.3
wheat,HSCE0701,8,7278,31.9
wheat,HSCE0701,8,7283,15.7
wheat,HSCE0701,8,7283,9.5
wheat,HSCE0701,8,7284,26
wheat,HSCE0701,8,7285,43.8
wheat,HSCE0701,8,7292,37.9
wheat,HSCE0701,8,7298,50.7
wheat,HSCE0701,8,7299,36.7
wheat,HSCE0701,8,7306,36.2
wheat,HSCE0701,8,7313,23.6
wheat,HSCE0701,8,7320,23.4
wheat,HSCE0701,8,7327,23.7
wheat,HSCE0701,8,7362,34.7
wheat,HSCE0701,8,8011,30.2
wheat,HSCE0701,8,8025,30.2
wheat,HSCE0701,8,8038,30.3
wheat,HSCE0701,9,7269,26.5
wheat,HSCE0701,9,7270,52.7
wheat,HSCE0701,9,7271,39.9
wheat,HSCE0701,9,7274,1.7
wheat,HSCE0701,9,7277,20.6
wheat,HSCE0701,9,7278,31.2
wheat,HSCE0701,9,7283,9.5
wheat,HSCE0701,9,7283,15.7
wheat,HSCE0701,9,7284,26
wheat,HSCE0701,9,7285,43.8
wheat,HSCE0701,9,7292,37.3
wheat,HSCE0701,9,7298,50.9
wheat,HSCE0701,9,7299,37
wheat,HSCE0701,9,7306,36.9
wheat,HSCE0701,9,7313,25
wheat,HSCE0701,9,7320,24
wheat,HSCE0701,9,7327,24.1
wheat,HSCE0701,9,7362,35.1
wheat,HSCE0701,9,8011,30.2
wheat,HSCE0701,9,8025,30.5
wheat,HSCE0701,9,8038,29.2
wheat,HSCE0701,10,7269,16.9
wheat,HSCE0701,10,7270,31.2
wheat,HSCE0701,10,7271,24.3
wheat,HSCE0701,10,7274,50.5
wheat,HSCE0701,10,7277,21.1
wheat,HSCE0701,10,7278,32.4
wheat,HSCE0701,10,7283,15.6
wheat,HSCE0701,10,7283,9.5
wheat,HSCE0701,10,7284,35.7
wheat,HSCE0701,10,7285,32.1
wheat,HSCE0701,10,7292,37.3
wheat,HSCE0701,10,7298,50.9
wheat,HSCE0701,10,7299,37
wheat,HSCE0701,10,7306,36.9
wheat,HSCE0701,10,7306,3.6
wheat,HSCE0701,10,7313,25
wheat,HSCE0701,10,7313,2.6
wheat,HSCE0701,10,7320,24
wheat,HSCE0701,10,7320,2.8
wheat,HSCE0701,10,7327,24.1
wheat,HSCE0701,10,7327,2.7
wheat,HSCE0701,10,7362,35.1
wheat,HSCE0701,10,7362,4.1
wheat,HSCE0701,10,8011,4
wheat,HSCE0701,10,8011,30.2
wheat,HSCE0701,10,8025,30.5
wheat,HSCE0701,10,8038,29.2
