Species*,Exp*,Trt*,IrrDate,IrrAmount
bananacol ,COLena,1,19001,7
bananacol ,COLena,1,19002,7
bananacol ,COLena,1,19003,7
bananacol ,COLena,1,19004,7
bananacol ,COLena,1,19005,7
bananacol ,COLena,1,19006,7
bananacol ,COLena,1,19007,7
bananacol ,COLena,1,19008,7
bananacol ,COLena,1,19009,7
bananacol ,COLena,1,19010,7
bananacol ,COLena,1,19011,7
bananacol ,COLena,1,19012,7
bananacol ,COLena,1,19013,7
bananacol ,COLena,1,19014,7
bananacol ,COLena,1,19015,7
bananacol ,COLena,1,19016,7
bananacol ,COLena,1,19017,7
bananacol ,COLena,1,19018,7
bananacol ,COLena,1,19019,7
bananacol ,COLena,1,19020,7
bananacol ,COLena,1,19021,7
bananacol ,COLena,1,19022,7
bananacol ,COLena,1,19023,7
bananacol ,COLena,1,19024,7
bananacol ,COLena,1,19025,7
bananacol ,COLena,1,19026,7
bananacol ,COLena,1,19027,7
bananacol ,COLena,1,19028,7
bananacol ,COLena,1,19029,7
bananacol ,COLena,1,19030,7
bananacol ,COLena,1,19031,7
bananacol ,COLena,1,19032,7
bananacol ,COLena,1,19033,7
bananacol ,COLena,1,19034,7
bananacol ,COLena,1,19035,7
bananacol ,COLena,1,19036,7
bananacol ,COLena,1,19037,7
bananacol ,COLena,1,19038,7
bananacol ,COLena,1,19039,7
bananacol ,COLena,1,19040,7
bananacol ,COLena,1,19041,7
bananacol ,COLena,1,19042,7
bananacol ,COLena,1,19043,7
bananacol ,COLena,1,19044,7
bananacol ,COLena,1,19045,7
bananacol ,COLena,1,19046,7
bananacol ,COLena,1,19047,7
bananacol ,COLena,1,19048,7
bananacol ,COLena,1,19049,7
bananacol ,COLena,1,19050,7
bananacol ,COLena,1,19051,7
bananacol ,COLena,1,19052,7
bananacol ,COLena,1,19053,7
bananacol ,COLena,1,19054,7
bananacol ,COLena,1,19055,7
bananacol ,COLena,1,19056,7
bananacol ,COLena,1,19057,7
bananacol ,COLena,1,19058,7
bananacol ,COLena,1,19059,7
bananacol ,COLena,1,19060,7
bananacol ,COLena,1,19061,7
bananacol ,COLena,1,19062,7
bananacol ,COLena,1,19063,7
bananacol ,COLena,1,19064,7
bananacol ,COLena,1,19065,7
bananacol ,COLena,1,19066,7
bananacol ,COLena,1,19067,7
bananacol ,COLena,1,19068,7
bananacol ,COLena,1,19069,7
bananacol ,COLena,1,19070,7
bananacol ,COLena,1,19071,7
bananacol ,COLena,1,19072,7
bananacol ,COLena,1,19073,7
bananacol ,COLena,1,19074,7
bananacol ,COLena,1,19075,7
bananacol ,COLena,1,19076,7
bananacol ,COLena,1,19077,7
bananacol ,COLena,1,19078,7
bananacol ,COLena,1,19079,7
bananacol ,COLena,1,19080,7
bananacol ,COLena,1,19081,7
bananacol ,COLena,1,19082,7
bananacol ,COLena,1,19083,7
bananacol ,COLena,1,19084,7
bananacol ,COLena,1,19085,7
bananacol ,COLena,1,19086,7
bananacol ,COLena,1,19087,7
bananacol ,COLena,1,19088,7
bananacol ,COLena,1,19089,7
bananacol ,COLena,1,19090,7
bananacol ,COLena,1,19091,7
bananacol ,COLena,1,19092,7
bananacol ,COLena,1,19093,7
bananacol ,COLena,1,19094,7
bananacol ,COLena,1,19095,7
bananacol ,COLena,1,19096,7
bananacol ,COLena,1,19097,7
bananacol ,COLena,1,19098,7
bananacol ,COLena,1,19099,7
bananacol ,COLena,1,19100,7
bananacol ,COLena,1,19101,7
bananacol ,COLena,1,19102,7
bananacol ,COLena,1,19103,7
bananacol ,COLena,1,19104,7
bananacol ,COLena,1,19105,7
bananacol ,COLena,1,19106,7
bananacol ,COLena,1,19107,7
bananacol ,COLena,1,19108,7
bananacol ,COLena,1,19109,7
bananacol ,COLena,1,19110,7
bananacol ,COLena,1,19111,7
bananacol ,COLena,1,19112,7
bananacol ,COLena,1,19113,7
bananacol ,COLena,1,19114,7
bananacol ,COLena,1,19115,7
bananacol ,COLena,1,19116,7
bananacol ,COLena,1,19117,7
bananacol ,COLena,1,19118,7
bananacol ,COLena,1,19119,7
bananacol ,COLena,1,19120,7
bananacol ,COLena,1,19121,7
bananacol ,COLena,1,19122,7
bananacol ,COLena,1,19123,7
bananacol ,COLena,1,19124,7
bananacol ,COLena,1,19125,7
bananacol ,COLena,1,19126,7
bananacol ,COLena,1,19127,7
bananacol ,COLena,1,19128,7
bananacol ,COLena,1,19129,7
bananacol ,COLena,1,19130,7
bananacol ,COLena,1,19131,7
bananacol ,COLena,1,19132,7
bananacol ,COLena,1,19133,7
bananacol ,COLena,1,19134,7
bananacol ,COLena,1,19135,7
bananacol ,COLena,1,19136,7
bananacol ,COLena,1,19137,7
bananacol ,COLena,1,19138,7
bananacol ,COLena,1,19139,7
bananacol ,COLena,1,19140,7
bananacol ,COLena,1,19141,7
bananacol ,COLena,1,19142,7
bananacol ,COLena,1,19143,7
bananacol ,COLena,1,19144,7
bananacol ,COLena,1,19145,7
bananacol ,COLena,1,19146,7
bananacol ,COLena,1,19147,7
bananacol ,COLena,1,19148,7
bananacol ,COLena,1,19149,7
bananacol ,COLena,1,19150,7
bananacol ,COLena,1,19151,7
bananacol ,COLena,1,19152,7
bananacol ,COLena,1,19153,7
bananacol ,COLena,1,19154,7
bananacol ,COLena,1,19155,7
bananacol ,COLena,1,19156,7
bananacol ,COLena,1,19157,7
bananacol ,COLena,1,19158,7
bananacol ,COLena,1,19159,7
bananacol ,COLena,1,19160,7
bananacol ,COLena,1,19161,7
dummy crop,Exp name,2,19162,30
dummy crop,Exp name,2,19163,25
dummy crop,Exp name,2,19164,40
dummy crop,Exp name,2,19165,53
dummy crop,Exp name,2,19166,65
dummy crop,Exp name,2,19167,65
dummy crop,Exp name,2,19168,74
dummy crop,Exp name,2,19169,62
dummy crop,Exp name,2,19170,85
dummy crop,Exp name,2,19171,85
dummy crop,Exp name,2,19172,80
dummy crop,Exp name,2,19173,83
dummy crop,Exp name,2,19174,83
dummy crop,Exp name,2,19175,82
dummy crop,Exp name,2,19176,94
dummy crop,Exp name,2,19177,87
bananacol ,COLena,1,19178,7
bananacol ,COLena,1,19179,7
bananacol ,COLena,1,19180,7
bananacol ,COLena,1,19181,7
bananacol ,COLena,1,19182,7
bananacol ,COLena,1,19183,7
bananacol ,COLena,1,19184,7
bananacol ,COLena,1,19185,7
bananacol ,COLena,1,19186,7
bananacol ,COLena,1,19187,7
bananacol ,COLena,1,19188,7
bananacol ,COLena,1,19189,7
bananacol ,COLena,1,19190,7
bananacol ,COLena,1,19191,7
bananacol ,COLena,1,19192,7
bananacol ,COLena,1,19193,7
bananacol ,COLena,1,19194,7
bananacol ,COLena,1,19195,7
bananacol ,COLena,1,19196,7
bananacol ,COLena,1,19197,7
bananacol ,COLena,1,19198,7
bananacol ,COLena,1,19199,7
bananacol ,COLena,1,19200,7
bananacol ,COLena,1,19201,7
bananacol ,COLena,1,19202,7
bananacol ,COLena,1,19203,7
bananacol ,COLena,1,19204,7
bananacol ,COLena,1,19205,7
bananacol ,COLena,1,19206,7
bananacol ,COLena,1,19207,7
bananacol ,COLena,1,19208,7
bananacol ,COLena,1,19209,7
bananacol ,COLena,1,19210,7
bananacol ,COLena,1,19211,7
bananacol ,COLena,1,19212,7
bananacol ,COLena,1,19213,7
bananacol ,COLena,1,19214,7
bananacol ,COLena,1,19215,7
bananacol ,COLena,1,19216,7
bananacol ,COLena,1,19217,7
bananacol ,COLena,1,19218,7
bananacol ,COLena,1,19219,7
bananacol ,COLena,1,19220,7
bananacol ,COLena,1,19221,7
bananacol ,COLena,1,19222,7
bananacol ,COLena,1,19223,7
bananacol ,COLena,1,19224,7
bananacol ,COLena,1,19225,7
bananacol ,COLena,1,19226,7
bananacol ,COLena,1,19227,7
bananacol ,COLena,1,19228,7
bananacol ,COLena,1,19229,7
