".id","Crop","Exp","Label","Trt","Day","DATE","Tmax","Tmin","Radiation","TT","fSolar","Biomass","dBiomass","HI","Yield","F_Temp","F_Heat","F_Water","ARID","I50B","I50A","ETO","MaturityDay"
"Daily","bananacol","COLena","North Colombia",1,1,2018-12-10,35,22,19.656,0,0.001,1,0.2409904224,0.15,0.15,1,1,1,0,500,600,0,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,2,2018-12-11,37,23,20.322,18.5,0.00282493100993445,1.241,0.703848083581659,0.15,0.186,1,1,1,0,500,600,4.92441298442533,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,3,2018-12-12,34,24,19.22,38.5,0.00344810841046781,1.945,0.812529120196545,0.15,0.292,1,1,1,0,500,600,10.6296533302825,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,4,2018-12-13,36,24,20.2284,57.5,0.00416645932473206,2.757,1.03331639148439,0.15,0.414,1,1,1,0,500,600,15.4612135089601,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,5,2018-12-14,37,23,20.2896,77.5,0.005083988274964,3.791,1.26468586589088,0.15,0.569,1,1,1,0,500,600,20.8855319518924,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,6,2018-12-15,36,22,18.1656,97.5,0.00620224855732561,5.055,1.38134943100418,0.15,0.758,1,1,1,0,500,600,26.5816762546827,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,7,2018-12-16,36,23,18.162,116.5,0.00748983452811481,6.437,1.66778680596724,0.15,0.966,1,1,1,0,500,600,31.388114263315,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,8,2018-12-17,37,24,19.6524,136,0.00908705273848709,8.105,2.18949159857406,0.15,1.216,1,1,1,0,500,600,36.225959919181,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,9,2018-12-18,38,23,18.6948,156.5,0.0111303614437645,10.294,2.55114257447001,0.15,1.544,1,1,1,0,500,600,41.77975349059,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,10,2018-12-19,35,25,19.5848,177,0.0136264732603137,12.845,3.27195444671673,0.15,1.927,1,1,1,0,500,600,47.301163324787,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,11,2018-12-20,36,25,15.4116,197,0.0165907244455117,16.117,3.13485688052168,0.15,2.418,1,1,1,0,500,600,52.3078727793116,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,12,2018-12-21,35,25,19.9248,217.5,0.0202849283529695,19.252,4.95532437113943,0.15,2.888,1,1,1,0,500,600,56.4680085656539,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,13,2018-12-22,36,23,18.9288,237.5,0.024659489337907,24.207,5.72284259203184,0.15,3.631,1,1,1,0,500,600,61.5616365087278,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,14,2018-12-23,37,24,17.4492,257,0.0298023856357842,29.93,6.37574868507942,0.15,4.489,1,1,1,0,500,600,66.6037361040783,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,15,2018-12-24,37,23,18.7236,277.5,0.0363239071776602,36.306,8.33847346709527,0.15,5.446,1,1,1,0,500,600,71.5349025156224,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,16,2018-12-25,34,24,19.31,297.5,0.0439936923560754,44.644,10.4154329318725,0.15,6.697,1,1,1,0,500,600,76.7914047368453,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,17,2018-12-26,26,26,19.4,316.5,0.0526887913841339,55.06,12.5321217629891,0.15,8.259,1,1,1,0,500,600,81.645589286807,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,18,2018-12-27,26,26,19.4,332.5,0.0612415275457102,67.592,14.5664051118356,0.15,10.139,1,1,1,0,500,600,86.191767094748,2019-11-09
"Daily","bananacol","COLena","North Colombia",1,19,2018-12-28,37,23,18.7236,348.5,0.0710726269990449,82.158,16.315348774836,0.15,12.324,1,1,1,0,500,600,90.737944902689,2019-11-09
