".id","Crop","Exp","Label","Trt","Day","DATE","Tmax","Tmin","Radiation","TT","fSolar","Biomass","dBiomass","HI","Yield","F_Temp","F_Heat","F_Water","ARID","I50B","I50A","ETO","MaturityDay"
"Daily","cocoac","KOKOcali","Cali",4,1,2019-11-29,22.96,20.28,12.16,0,0.001,1,0.04614302,0.3,0.3,0.72625,1,1,0,200,680,0,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,2,2019-11-30,26.41,19.98,14.06,11.62,0.00118697938882949,1.046,0.0719124698794486,0.3,0.314,0.8246875,1,1,0,200,680,2.63651930542877,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,3,2019-12-01,24.89,20.86,14.37,24.815,0.00135416567967818,1.118,0.081816730528717,0.3,0.335,0.8046875,1,1,0,200,680,5.80181064451478,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,4,2019-12-02,25.41,21.1,15.49,37.69,0.0015399341965733,1.2,0.10325227399834,0.3,0.36,0.8284375,1,1,0,200,680,9.00260469239075,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,5,2019-12-03,25.45,20.16,15.28,50.945,0.00175779460952576,1.303,0.11231490070514,0.3,0.391,0.8003125,1,1,0,200,680,12.4797964661418,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,6,2019-12-04,24.26,19.87,14.91,63.75,0.00199742174601516,1.415,0.117338641433088,0.3,0.424,0.7540625,1,1,0,200,680,15.886931000766,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,7,2019-12-05,25.8,20.44,16.91,75.815,0.00225294364643868,1.533,0.163227783569046,0.3,0.46,0.82,1,1,0,200,680,19.1588353649076,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,8,2019-12-06,25.07,20.62,13.76,88.935,0.00256794309581746,1.696,0.148219126807061,0.3,0.509,0.8028125,1,1,0,200,680,22.9526269662713,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,9,2019-12-07,25.22,19.9,11.79,101.78,0.00291883567783629,1.844,0.141149519073971,0.3,0.553,0.785,1,1,0,200,680,26.0182522831061,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,10,2019-12-08,26.69,18.69,15.7,114.34,0.00330809898007401,1.985,0.215231623712954,0.3,0.596,0.793125,1,1,0,200,680,28.6350300137876,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,11,2019-12-09,27.08,20.19,15.68,127.03,0.00375392760807422,2.201,0.262091783434259,0.3,0.66,0.8521875,1,1,0,200,680,32.1462514835904,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,12,2019-12-10,24.33,20.44,14.35,140.665,0.00429983037131427,2.463,0.249554581338915,0.3,0.739,0.7740625,1,1,0,200,680,35.7087178786724,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,13,2019-12-11,23.98,20.29,13.87,153.05,0.004863843640744,2.712,0.267338901366286,0.3,0.814,0.7584375,1,1,0,200,680,38.8742419377508,2020-05-17
"Daily","cocoac","KOKOcali","Cali",4,14,2019-12-12,26.32,19.58,14.28,165.185,0.00548775175266154,2.98,0.331404762418831,0.3,0.894,0.809375,1,1,0,200,680,41.917924937794,2020-05-17
