".id","Crop","Exp","Label","Trt","Day","DATE","Tmax","Tmin","Radiation","TT","fSolar","Biomass","dBiomass","HI","Yield","F_Temp","F_Heat","F_Water","ARID","I50B","I50A","ETO","MaturityDay"
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,1,2020-03-13,20.38,14.87,13.98,0,0.001,1,0.0417728953125,0.3,0.3,0.4765625,1,1,0,200,680,0,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,2,2020-03-14,20.32,14.39,13.46,7.625,0.00114055009360961,1.042,0.0442475939051779,0.3,0.313,0.4596875,1,1,0,200,680,2.81002565141387,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,3,2020-03-15,22.51,13.8,14.89,14.98,0.00122748708280529,1.086,0.058409454720664,0.3,0.326,0.5096875,1,1,0,200,680,5.50245399638884,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,4,2020-03-16,21.65,13.65,17.75,23.135,0.00133163735325237,1.144,0.0708587227216763,0.3,0.343,0.478125,1,1,0,200,680,8.54931829832714,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,5,2020-03-17,23.52,13.6,21.26,30.785,0.00143734526168416,1.215,0.10250514980558,0.3,0.364,0.535,1,1,0,200,680,12.1378482247711,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,6,2020-03-18,21.15,13.33,17.54,39.345,0.0015655898217242,1.318,0.0779100893849794,0.3,0.395,0.4525,1,1,0,200,680,16.5358194431744,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,7,2020-03-19,21.91,13.12,16.98,46.585,0.00168293434504374,1.396,0.0841552864383219,0.3,0.419,0.4696875,1,1,0,200,680,20.049907859672,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,8,2020-03-20,19.76,13.08,10.08,54.1,0.00181402957326488,1.48,0.04600314055541,0.3,0.444,0.40125,1,1,0,200,680,23.4787149229164,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,9,2020-03-21,21.58,10.5,17.83,60.52,0.00193406508870391,1.526,0.0816219423897354,0.3,0.458,0.3775,1,1,0,200,680,25.4581004595133,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,10,2020-03-22,22.92,10.95,23.43,66.56,0.00205422223974055,1.607,0.130801805553722,0.3,0.482,0.4334375,1,1,0,200,680,28.9638931027783,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,11,2020-03-23,21.95,11.08,19.69,73.495,0.00220139672931902,1.738,0.110663910134087,0.3,0.521,0.4071875,1,1,0,200,680,33.6690071615974,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,12,2020-03-24,20.72,13.75,9.83,80.01,0.00234922632884408,1.849,0.0654733361989872,0.3,0.555,0.4521875,1,1,0,200,680,37.5786066563205,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,13,2020-03-25,20.3,14.17,19.12,87.245,0.00252502389529128,1.914,0.136879835291307,0.3,0.574,0.4521875,1,1,0,200,680,39.5442493573073,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,14,2020-03-26,21.28,12.58,17.62,94.48,0.00271393908987691,2.051,0.129863407215451,0.3,0.615,0.433125,1,1,0,200,680,43.3607113456255,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,15,2020-03-27,23.05,13.64,20.6,101.41,0.00290808893899211,2.181,0.195906481226589,0.3,0.654,0.5215625,1,1,0,200,680,46.8741611668749,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,16,2020-03-28,22.54,11.92,19.84,109.755,0.00316034046769049,2.377,0.177648438943086,0.3,0.713,0.451875,1,1,0,200,680,51.1122538357271,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,17,2020-03-29,21.48,14.55,14.38,116.985,0.00339644864365368,2.555,0.153403413339593,0.3,0.767,0.5009375,1,1,0,200,680,55.1099643917909,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,18,2020-03-30,21.44,13.97,13.4,125,0.00367878326863748,2.708,0.148843269848692,0.3,0.812,0.4815625,1,1,0,200,680,58.0329864643164,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,19,2020-03-31,20.82,14.83,15.29,132.705,0.0039722073500083,2.857,0.186239287069448,0.3,0.857,0.4890625,1,1,0,200,680,60.7421880324405,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,20,2020-04-01,20.38,14.09,11.8,140.53,0.0042940557369737,3.043,0.143659972257047,0.3,0.913,0.4521875,1,1,0,200,680,63.8316842339423,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,21,2020-04-02,23.69,13.9,18.72,147.765,0.0046146802938154,3.187,0.297735667707286,0.3,0.956,0.5496875,1,1,0,200,680,66.1878365358522,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,22,2020-04-03,23.49,14.4,19.56,156.56,0.00503667487509255,3.485,0.345335059027049,0.3,1.045,0.5590625,1,1,0,200,680,70.078074937251,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,23,2020-04-04,23.9,13.07,18.02,165.505,0.00550523875789549,3.83,0.329860528298839,0.3,1.149,0.5303125,1,1,0,200,680,74.1495424775567,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,24,2020-04-05,22.83,15.27,18.17,173.99,0.00598967470255599,4.16,0.385970667801444,0.3,1.248,0.565625,1,1,0,200,680,77.8784962950308,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,25,2020-04-06,21.09,14.54,15.98,183.04,0.00655311212610036,4.546,0.320701443307231,0.3,1.364,0.4884375,1,1,0,200,680,81.6569155095525,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,26,2020-04-07,22.98,14.12,19.52,190.855,0.00708180999355147,4.866,0.463167157467951,0.3,1.46,0.534375,1,1,0,200,680,84.8889650198398,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,27,2020-04-08,23.33,13.31,19.74,199.405,0.00770881393819467,5.33,0.496141546871134,0.3,1.599,0.52,1,1,0,200,680,88.917341782091,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,28,2020-04-09,20.96,13.37,15.39,207.725,0.00837173020873091,5.826,0.36175754425285,0.3,1.748,0.4478125,1,1,0,200,680,92.9815321997642,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,29,2020-04-10,22.98,13.23,14.85,214.89,0.0089876931874294,6.188,0.423911569416083,0.3,1.856,0.5065625,1,1,0,200,680,96.0584482282615,2020-09-23
"Daily","cocoacl","KOKOcaldas","Caldas-6",5,30,2020-04-11,21.75,14.25,12.31,222.995,0.00973870170451696,6.611,0.375834515375463,0.3,1.983,0.5,1,1,0,200,680,99.1005441989608,2020-09-23
