".id","Crop","Exp","Label","Trt","Day","DATE","Tmax","Tmin","Radiation","TT","fSolar","Biomass","dBiomass","HI","Yield","F_Temp","F_Heat","F_Water","ARID","I50B","I50A","ETO","MaturityDay"
"Daily","cocoap","KOKOapar","Apartado Ant.",2,1,2019-12-13,30.27,23.65,14.26,0,0.001,1,0.0894102,0.3,0.3,1,1,1,0,200,680,0,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,2,2019-12-14,29.22,23.68,17.28,16.96,0.00125200118532338,1.089,0.135648819624573,0.3,0.327,1,1,1,0,200,680,3.44022406235803,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,3,2019-12-15,28.83,23.55,14.06,33.41,0.00147551576915703,1.225,0.130075863248961,0.3,0.368,1,1,1,0,200,680,7.56352263124128,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,4,2019-12-16,28.24,24.33,15.52,49.6,0.00173435342962536,1.355,0.168770625978216,0.3,0.406,1,1,1,0,200,680,10.9013420572452,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,5,2019-12-17,28.75,24.15,11.91,65.885,0.00204043261369277,1.524,0.152370733730337,0.3,0.457,1,1,1,0,200,680,14.5829856301168,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,6,2019-12-18,27.51,24.3,13.61,82.335,0.00240434588691143,1.676,0.20395591352952,0.3,0.503,0.9940625,1,1,0,200,680,17.4201418651608,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,7,2019-12-19,29.62,23.77,14.34,98.24,0.00281761748511087,1.88,0.253337059797791,0.3,0.564,1,1,1,0,200,680,20.622601850734,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,8,2019-12-20,29.87,24.22,13.77,114.935,0.00332777168868673,2.134,0.287312819280666,0.3,0.64,1,1,1,0,200,680,24.0612301918993,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,9,2019-12-21,29.9,24.61,14.13,131.98,0.0039436321052559,2.421,0.349386480728357,0.3,0.726,1,1,1,0,200,680,27.3825377467192,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,10,2019-12-22,28.19,25.21,9.1,149.235,0.00468268029769351,2.77,0.267179689745498,0.3,0.831,1,1,1,0,200,680,30.8011523389682,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,11,2019-12-23,27.62,24.33,11.92,165.935,0.00552882418716199,3.037,0.412569824452241,0.3,0.911,0.9984375,1,1,0,200,680,32.972332723683,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,12,2019-12-24,29.34,24.31,11.37,181.91,0.00647998102656969,3.45,0.46195719938605,0.3,1.035,1,1,1,0,200,680,35.7810937963026,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,13,2019-12-25,28.69,24.6,6.54,198.735,0.00765775246403933,3.912,0.314012265989904,0.3,1.174,1,1,1,0,200,680,38.5098629317685,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,14,2019-12-26,28.2,24.76,11.63,215.38,0.0090314212555304,4.226,0.658572141095402,0.3,1.268,1,1,1,0,200,680,40.0718101562623,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,15,2019-12-27,27.2,25.04,10.13,231.86,0.0106313585919916,4.885,0.675251804106204,0.3,1.465,1,1,1,0,200,680,42.8380043477565,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,16,2019-12-28,27.64,24.87,12.85,247.98,0.0124665915814523,5.56,1.00442705042182,0.3,1.668,1,1,1,0,200,680,45.2263611426728,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,17,2019-12-29,28.07,24.76,11.3,264.235,0.0146331399494278,6.564,1.03677259855691,0.3,1.969,1,1,1,0,200,680,48.2667451600045,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,18,2019-12-30,27.21,24.29,3.93,280.65,0.0171963090797745,7.601,0.417115097108356,0.3,2.28,0.984375,1,1,0,200,680,50.9506934986369,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,19,2019-12-31,28.12,23.87,13.41,296.4,0.0200677045271321,8.018,1.68677936070818,0.3,2.405,0.9996875,1,1,0,200,680,51.8723492861677,2020-06-01
"Daily","cocoap","KOKOapar","Apartado Ant.",2,20,2020-01-01,27.57,23.76,16.99,312.395,0.0234625255809448,9.705,2.44706832426011,0.3,2.911,0.9790625,1,1,0,200,680,55.0388332832593,2020-06-01
