YEAR,MO,DY,SAR,WS10M,T,T2MDEW,T2M_MAX,T2M_MIN,rain,RH,date
2018,1,1,1.37,2.23,19.33,17.47,22.08,17.61,21.09,89.81,01 January 2018
2018,1,2,1.97,2.25,19.62,17.3,23.19,16.79,5.27,87.44,02 January 2018
2018,1,3,2.23,2.02,20.51,18.01,25.12,18.04,10.55,87.06,03 January 2018
2018,1,4,2.14,2.4,20.23,18.44,24.33,18.05,15.82,90.38,04 January 2018
2018,1,5,2.15,2.57,19.98,18.18,23.18,18.16,0,90.25,05 January 2018
2018,1,6,2.04,2.07,20.37,17.92,24.94,17.21,5.27,87.56,06 January 2018
2018,1,7,2.21,2.41,20.09,17.79,23.87,17.79,5.27,88.06,07 January 2018
2018,1,8,2.37,2.56,20.6,17.09,26.38,16.19,5.27,82.81,08 January 2018
2018,1,9,1.66,2.23,19.94,17.76,24.49,17.83,15.82,88.75,09 January 2018
2018,1,10,2.46,2.3,20.44,17.9,25.38,17.48,0,87.06,10 January 2018
2018,1,11,2.3,2.66,20.05,18.4,23,18.16,0,91,11 January 2018
2018,1,12,1.72,2.72,19.12,17.6,21.59,17.1,5.27,91.44,12 January 2018
2018,1,13,1.79,2.67,19.08,17.19,22.67,16.6,5.27,89.69,13 January 2018
2018,1,14,1.8,3.31,18.93,17.86,21.27,17.09,10.55,93.88,14 January 2018
2018,1,15,1.89,2.23,19.2,16.98,23.41,16.16,15.82,88.06,15 January 2018
2018,1,16,1.84,2.53,20.21,17.65,25.54,17.94,5.27,86.88,16 January 2018
2018,1,17,1.63,2.7,19.16,17.39,22.08,17.06,5.27,90.19,17 January 2018
2018,1,18,1.71,2.23,19.27,16.47,24.34,15.9,0,85.31,18 January 2018
2018,1,19,2.05,1.98,19.92,17.3,24.86,17.18,0,86.31,19 January 2018
2018,1,20,1.78,1.78,20.63,17.13,25.76,16.78,0,82.44,20 January 2018
2018,1,21,1.93,1.91,20.87,17.19,26.45,16.8,0,82,21 January 2018
