YEAR,MO,DY,SRAD,WS10M,T,T2MDEW,T2M_MAX,T2M_MIN,rain,RH,date
2018,1,1,1.35,1.23,23.44,19.57,28.05,20.6,0,80.81,01 January 2018
2018,1,2,1.23,1.29,22.48,19.57,26.46,20.02,10.55,84.81,02 January 2018
2018,1,3,2.02,1.17,21.39,19.8,24.69,18.83,5.27,91.62,03 January 2018
2018,1,4,2.47,1.23,23.11,18.67,28.58,18.91,0,78.19,04 January 2018
2018,1,5,2.45,1.23,23.26,19.19,27.44,20.45,0,79.12,05 January 2018
2018,1,6,1.96,1.23,22.26,18.51,27.17,18.93,0,80.69,06 January 2018
2018,1,7,2.28,1.41,22.56,17.62,27.6,19.21,0,75.19,07 January 2018
2018,1,8,2.54,1.41,22.78,17.41,27.74,19.15,0,73.25,08 January 2018
2018,1,9,1.87,1.33,22.23,18.12,26.87,19.19,0,79,09 January 2018
2018,1,10,2.19,1.27,22.64,17.94,26.8,19.68,0,76.12,10 January 2018
2018,1,11,2.37,1.41,23.67,18.21,28.94,18.83,0,73.5,11 January 2018
2018,1,12,2.29,1.16,23.65,19.15,28.33,20.73,0,77.31,12 January 2018
2018,1,13,2.46,1.34,23.93,18.9,29.55,19.47,0,75.94,13 January 2018
2018,1,14,2.53,1.22,23.98,18.65,28.71,20.53,0,73.75,14 January 2018
2018,1,15,2.59,1.51,23.48,19.01,28.54,20.02,0,77.56,15 January 2018
2018,1,16,2.35,1.23,22.98,19.43,27.6,20.03,5.27,82.12,16 January 2018
2018,1,17,1.44,1.44,23.08,19.66,27.39,19.98,0,82.62,17 January 2018
2018,1,18,1.67,1.05,22.98,20.16,26.78,20.62,5.27,85.5,18 January 2018
2018,1,19,2.58,1.17,23.26,19.38,28.4,19.39,0,80.75,19 January 2018
2018,1,20,2.28,1.34,23.87,19.08,28.77,20.39,0,76.62,20 January 2018
2018,1,21,2.84,1.3,23.12,18.49,27.99,19.64,0,77.19,21 January 2018
2018,1,22,3.07,1.11,23.92,16.82,29.73,18.96,0,67,22 January 2018
2018,1,23,3.12,1.2,24.25,16.83,30.04,20.27,0,65.56,23 January 2018
2018,1,24,2.73,1.31,23.79,17.22,29.05,19.82,0,68.62,24 January 2018
2018,1,25,2.65,1.3,23.88,17.25,29.19,19.69,0,68.25,25 January 2018
2018,1,26,2.36,1.33,24.05,17.72,29.43,19.88,0,69.5,26 January 2018
2018,1,27,2.47,1.07,23.74,17.52,28.8,19.69,0,69.81,27 January 2018
2018,1,28,2.21,1.03,23.6,17.65,28.31,19.87,0,70.88,28 January 2018
2018,1,29,2.38,1.19,23.7,17.85,28.65,19.76,0,71.31,29 January 2018
2018,1,30,2.78,1.11,24.53,18.02,30.36,20.08,0,68.88,30 January 2018
2018,1,31,2.69,1.53,24.78,18.37,30.12,20.7,0,69.25,31 January 2018
2018,2,1,2.43,1.47,24.46,18.27,29.87,20.55,0,70.25,01 February 2018
2018,2,2,1.95,1.24,24.38,18.23,29.27,20.28,0,70,02 February 2018
2018,2,3,2.3,1.09,23.98,18.07,28.81,20.94,0,71.38,03 February 2018
2018,2,4,2.4,1.4,24.05,18.1,29.55,20.61,0,71.12,04 February 2018
2018,2,5,2.4,1.03,23.98,17.08,29.26,19.29,0,67.25,05 February 2018
